276725,"""tyler texas usa""",NULL
276726,"""seattle washington usa""",NULL
276727,"""h new south wales australia""","""16"""
276729,"""rijeka n/a croatia""","""16"""
276733,"""paris n/a france""","""37"""
276736,"""salzburg salzburg austria""",NULL
276737,"""sydney new south wales australia""","""14"""
276744,"""torrance california usa""",NULL
276745,"""berlin berlin germany""","""27"""
276746,"""fort worth ",NULL
276747,"""iowa city iowa usa""","""25"""
276748,"""jubail ind.-city eastern province saudi arabia""","""39"""
276751,"""zuerich zh switzerland""",NULL
276754,"""alberta beach alberta canada""","""19"""
276755,"""frankfurt am main hessen germany""","""32"""
276760,"""santander n/a spain""","""25"""
276762,"""duisburg nordrhein-westfalen germany""","""25"""
276765,"""renesse zeeland netherlands""",NULL
276768,"""maastricht limburg netherlands""","""23"""
276772,"""bonn nordrhein-westfalen germany""",NULL
276774,"""bern bern switzerland""","""28"""
276780,"""vva. de la serena badajoz spain""","""18"""
276786,"""madrid madrid spain""","""34"""
276788,"""mentone california usa""",NULL
276796,"""manchester england united kingdom""","""21"""
276798,"""mannheim baden-wuerttemberg germany""","""31"""
276800,"""dunedin otago new zealand""","""23"""
276803,"""almada almada portugal""","""22"""
276804,"""st. louis missouri usa""","""14"""
276806,"""genova ","28"""
276808,"""phoenix arizona usa""","""25"""
276811,"""huntley illinois usa""","""19"""
276812,"""cervo imperia italy""",NULL
276813,"""sitges barcelona spain""","""29"""
276814,"""bundaberg queensland australia""","""39"""
276817,"""telford england united kingdom""","""23"""
276820,"""scarbrough ontario canada""","""19"""
276822,"""calgary alberta canada""","""11"""
276827,"""frankfurt (oder) brandenburg germany""","""20"""
276828,"""paris paris france""",NULL
276830,"""ottawa ontario canada""",NULL
276832,"""epsom new hampshire usa""",NULL
276833,"""fredericton new brunswick canada""","""14"""
276835,"""bitterfeld sachsen-anhalt germany""",NULL
276837,"""columbia missouri usa""",NULL
276838,"""valencia valencia spain""","""22"""
276840,"""--------- dc usa""","""16"""
276842,"""leudelange kanton esch luxembourg""","""14"""
276847,"""köln nordrhein-westfalen germany""","""27"""
276848,"""köln nordrhein-westfalen germany""","""41"""
276850,"""toronto ontario canada""","""16"""
276852,"""canberra australian capital territory australia""","""18"""
276853,"""lugo galiza spain""","""17"""
276854,"""dandenong north victoria australia""","""22"""
276856,"""mirecourt lorraine france""",NULL
276857,"""blanes girona spain""","""19"""
276859,"""ottawa ontario canada""",NULL
276861,"""zauggenried bern switzerland""","""17"""
276862,"""calgary alberta canada""",NULL
276863,"""campinas são paulo brazil""","""33"""
276866,"""mönchengladbach nordrhein-westfalen germany""","""27"""
276869,"""bloomington indiana usa""","""31"""
276870,"""amsterdam noord holland netherlands""","""36"""
276872,"""são paulo são paulo brazil""","""43"""
276873,"""norwich england united kingdom""","""26"""
276875,"""roma lazio italy""",NULL
276878,"""albany california usa""",NULL
276879,"""vedano olona lombardia italy""",NULL
276884,"""badalona catalunya spain""","""22"""
276887,"""arlington massachusetts usa""",NULL
276888,"""frosinone lazio italy""",NULL
276889,"""akron ohio usa""","""32"""
276890,"""dorset england united kingdom""","""0"""
276896,"""mena arkansas usa""","""14"""
276904,"""battle ground washington usa""",NULL
276905,"""toronto ontario canada""","""22"""
276911,"""sevilla sevilla spain""","""20"""
276912,"""st james western australia australia""","""28"""
276915,"""painesville ohio usa""",NULL
276916,"""denver colorado usa""",NULL
276925,"""barcelona barcelona spain""","""22"""
276927,"""croydon england united kingdom""","""26"""
276928,"""highland california usa""","""10"""
276929,"""collex geneva switzerland""","""35"""
276934,"""firenze toscana italy""",NULL
276936,"""kitzbuehel tirol austria""","""32"""
276939,"""poissy yvelines france""","""23"""
276943,"""berlin berlin germany""","""21"""
276946,"""milano lombardia italy""",NULL
276949,"""bolligen bern","24"""
276950,"""lecco lombardia italy""","""22"""
276953,"""petaling jaya selangor malaysia""","""18"""
276954,"""freiburg baden-wuerttemberg germany""","""43"""
276957,"""iowa city iowa usa""",NULL
276959,"""rankweil vorarlberg austria""","""52"""
276963,"""chichester england united kingdom""","""36"""
276964,"""villa ridge missouri usa""","""34"""
276965,"""lisbon estremadura portugal""","""29"""
276975,"""bern bern switzerland""",NULL
276981,"""el masnou catalunya spain""","""45"""
276984,"""yarmouth nova scotia canada""","""11"""
276986,"""haysville kansas usa""","""28"""
276988,"""sarnia ontario canada""",NULL
276989,"""edson alberta canada""",NULL
276990,"""bologna emilia romagna italy""","""22"""
276992,"""brentwood western australia australia""","""23"""
276994,"""wien wien austria""","""25"""
276997,"""vancouver british columbia canada""","""37"""
276998,"""saint charles missouri usa""","""46"""
277002,"""york north yorkshire united kingdom""","""36"""
277007,"""perugia umbria italy""","""18"""
277009,"""calgary alberta canada""","""30"""
277010,"""münchen bayern germany""","""36"""
277012,"""upland california usa""","""60"""
277018,"""lorraine new york usa""","""21"""
277019,"""orihuela alicante spain""","""26"""
277022,"""barcelona catalunya spain""","""32"""
277023,"""klamath falls oregon usa""","""23"""
277028,"""ripley new york usa""",NULL
277031,"""seymour connecticut usa""",NULL
277032,"""weston wisconsin usa""",NULL
277035,"""lüneburg niedersachsen germany""",NULL
277036,"""lisboa lisboa portugal""","""21"""
277040,"""barcelona barcelona spain""","""27"""
277042,"""hiram georgia usa""",NULL
277048,"""augsburg bayern germany""","""26"""
277051,"""cologne nordrhein-westfalen germany""","""18"""
277052,"""turuku varsinais-suomi finland""","""26"""
277053,"""auckland n/a new zealand""","""14"""
277056,"""karlsruhe baden-württemberg germany""","""24"""
277058,"""cerdanyola del valles barcelona spain""","""30"""
277064,"""nepean ontario canada""","""18"""
277065,"""ann arbor michigan usa""","""34"""
277072,"""london england united kingdom""",NULL
277073,"""winnipeg manitoba canada""","""20"""
277074,"""saint-jean-sur-richelieu quebec canada""","""30"""
277075,"""bern bern switzerland""","""29"""
277079,"""berlin berlin germany""",NULL
277085,"""sydney australian capital territory australia""","""25"""
277087,"""barcelona cataluña spain""","""29"""
277090,"""moenchengladbach nordrhein-westfalen germany""","""36"""
277094,"""spokane washington usa""","""26"""
277096,"""kingston ontario canada""","""57"""
277102,"""gloucester england united kingdom""",NULL
277107,"""eugene oregon usa""","""57"""
277109,"""wheaton illinois usa""",NULL
277114,"""jefferson louisiana usa""",NULL
277116,"""würzburg bayern germany""","""24"""
277123,"""hummelstown ","60"""
277124,"""  canada""",NULL
277128,"""n/a st andrew`s guernsey""","""19"""
277129,"""köln nordrhein-westfalen germany""","""47"""
277134,"""chillicothe ohio usa""","""16"""
277135,"""madison wisconsin usa""",NULL
277139,"""indianapolis indiana usa""",NULL
277142,"""los osos ",NULL
277143,"""prospect connecticut usa""","""34"""
277149,"""jena thueringen germany""","""14"""
277155,"""brisbane queensland australia""","""30"""
277157,"""garden grove california usa""","""70"""
277159,"""moose jaw saskatchewan canada""",NULL
277165,"""zaragoza aragon spain""","""36"""
277168,"""palestine texas usa""","""37"""
277170,"""pasadena california usa""",NULL
277171,"""tilton new hampshire usa""","""54"""
277176,"""albacete albacete spain""","""27"""
277179,"""charleston south carolina usa""","""45"""
277180,"""oklahoma city oklahoma usa""",NULL
277183,"""mesa arizona costa rica""",NULL
277186,"""loughborough england united kingdom""","""40"""
277187,"""st. louis missouri usa""","""47"""
277188,"""waterloo ontario canada""","""42"""
277189,"""amboy minnesota usa""","""44"""
277195,"""san francisco california usa""","""54"""
277196,"""saginaw michigan usa""",NULL
277197,"""allendale michigan usa""",NULL
277203,"""olympia washington usa""","""8"""
277205,"""toronto ontario canada""","""25"""
277209,"""cassville missouri usa""",NULL
277212,"""framingham massachusetts usa""",NULL
277220,"""seattle washington usa""",NULL
277221,"""dublin n/a ireland""","""43"""
277228,"""merritt island florida usa""","""46"""
277229,"""littleton colorado usa""",NULL
277230,"""efland north carolina usa""",NULL
277231,"""carpinteria california usa""",NULL
277232,"""louisville kentucky usa""",NULL
277235,"""chicago illinois usa""","""36"""
277237,"""auburn alabama usa""","""42"""
277240,"""jenkins missouri usa""",NULL
277242,"""boise idaho usa""",NULL
277243,"""alpine texas usa""",NULL
277244,"""des moines iowa usa""",NULL
277245,"""vancouver british columbia canada""",NULL
277246,"""skillman new jersey usa""",NULL
277249,"""rome lazio italy""",NULL
277253,"""langley british columbia canada""","""24"""
277256,"""raleigh north carolina usa""","""65"""
277257,"""san jose california usa""",NULL
277261,"""oberschleissheim bayern germany""","""24"""
277262,"""brooklyn new york usa""",NULL
277265,"""culpeper virginia usa""",NULL
277267,"""napoli campania italy""","""37"""
277268,"""frankfurt hessen germany""","""26"""
277269,"""queen creek arizona usa""",NULL
